fid,Pressure_h,Temperatur,Humidity_p,Radiation_,UV_mWcm2,Latitude,Longitude,Altitude_m,SO2_October_2025,O3_October_2025,NO2_October_2025,CO_October_2025,UVAI_October_2025
716,806.7,8.46,72.87,24,1.15,25.544411,76.844229,1881.66386575284,0.00038,0.1249,0.00002,0.0291,-0.18331
717,807.17,31.09,54.97,12,0.41,25.294335,76.21214,1876.95948834963,-0.00006,0.12529,0.00002,0.02926,-0.05394
718,808.74,8.59,74.46,48,1.19,25.544411,76.844229,1861.26092889963,0.00038,0.1249,0.00002,0.0291,-0.18331
719,809.34,31.12,55.19,0,0.4,25.294335,76.21214,1855.26799646547,-0.00006,0.12529,0.00002,0.02926,-0.05394
720,810.6,8.7,74.43,36,1.11,25.544202,76.844415,1842.69453905294,0.00038,0.1249,0.00002,0.0291,-0.18331
721,811.54,31.15,54.51,12,0.37,25.294311,76.211869,1833.32464389466,-0.00006,0.12529,0.00002,0.02926,-0.05394
722,812.56,8.79,74.82,60,1.19,25.543995,76.844631,1823.1672474739,0.00038,0.1249,0.00002,0.0291,-0.18331
723,813.46,31.19,55.11,48,0.4,25.294234,76.211804,1814.21340931683,-0.00006,0.12529,0.00002,0.02926,-0.05394
724,814.58,8.91,75.18,48,1.16,25.543831,76.844784,1803.08205082536,0.00038,0.1249,0.00002,0.0291,-0.18331
725,815.52,31.21,55.56,12,0.37,25.294216,76.211532,1793.7492220902,-0.00006,0.12529,0.00002,0.02926,-0.05394
726,816.49,9,75.69,48,1.06,25.543831,76.844784,1784.12766476361,0.00038,0.1249,0.00002,0.0291,-0.18331
727,817.99,31.23,55.73,0,0.41,25.294069,76.211389,1769.26717524145,-0.00006,0.12529,0.00002,0.02926,-0.05394
728,818.52,9.05,75.61,72,1.08,25.543728,76.845006,1764.02174450997,0.00038,0.1249,0.00002,0.0291,-0.18331
729,820.45,31.24,56.44,36,0.32,25.294069,76.211389,1744.94367151859,-0.00006,0.12529,0.00002,0.02926,-0.05394
730,820.49,9.17,75.82,36,1.07,25.543834,76.84517,1744.54865559519,0.00038,0.1249,0.00002,0.0291,-0.18331
731,822.52,9.27,76.61,36,1.16,25.543959,76.845364,1724.5220439985,0.00038,0.1249,0.00002,0.0291,-0.18331
732,823,31.26,57.08,0,0.27,25.29391,76.211055,1719.79253889511,-0.00006,0.12529,0.00002,0.02926,-0.05394
733,824.47,9.41,76.89,24,1.06,25.544119,76.845611,1705.32231062438,0.00038,0.1249,0.00002,0.0291,-0.18331
734,825.21,31.28,56.33,36,0.24,25.293856,76.210938,1698.04588191309,-0.00006,0.12529,0.00002,0.02926,-0.05394
735,826.42,9.53,78.04,36,1.04,25.544119,76.845611,1686.15931264107,0.00038,0.1249,0.00002,0.0291,-0.18331
736,827.24,31.3,56.42,0,0.22,25.293714,76.210755,1678.11196033731,-0.00006,0.12529,0.00002,0.02926,-0.05394
737,828.34,9.61,78.4,36,0.98,25.5444,76.846368,1667.3268696706,0.00038,0.1249,0.00002,0.0291,-0.18331
738,829.19,31.32,57.73,12,0.22,25.293659,76.2106,1659.00087626937,-0.00006,0.12529,0.00002,0.02926,-0.05394
739,830.31,9.72,78.74,48,1.04,25.544585,76.846665,1648.04070177478,0.00038,0.1249,0.00002,0.0291,-0.18331
740,831.21,31.35,56.62,36,0.23,25.293634,76.210488,1639.24209032189,-0.00006,0.12529,0.00002,0.02926,-0.05394
741,832.24,9.81,79.1,24,1.04,25.54477,76.846918,1629.18202937209,0.00038,0.1249,0.00002,0.0291,-0.18331
742,833.03,31.36,57.35,12,0.22,25.29356,76.210336,1621.47288975288,-0.00006,0.12529,0.00002,0.02926,-0.05394
743,834.11,9.93,79.54,72,1.09,25.54477,76.846918,1610.94338564321,0.00038,0.1249,0.00002,0.0291,-0.18331
744,834.94,31.39,57.14,0,0.23,25.293478,76.21014,1602.85876634639,-0.00006,0.12529,0.00002,0.02926,-0.05394
745,836.06,10.04,79.35,48,1.05,25.545154,76.847452,1591.95970982513,0.00038,0.1249,0.00002,0.0291,-0.18331
